Date,Sampling_Area,COVID_N1,COVID_N2,PMMoV,Avg_FlowRate,Project,Temperature,Bemerkung,bestimmungsgrenze,precipitation_event,flow_normalized_COVID_N1,flow_normalized_COVID_N2,PMMoV_normalized_COVID_N1,PMMoV_normalized_COVID_N2
2022-02-28,North_South,2877.121279169315,1731.84879550753,2719778.768490168,881.921296296296,ESI_CorA,,,False,heavy_rain,7984.793747572467,4806.351242204845,41077.52421944461,24726.12515744076
2022-03-02,North_South,40857.6860948059,20153.34714916909,29746540.376670893,909.212962962964,ESI_CorA,,,False,heavy_rain,116900.15580240842,57661.84154949959,53335.574190337386,26308.155081615834
2022-03-07,North_South,44350.8665810432,16694.4915192959,25513060.489387088,892.083333333334,ESI_CorA,,,False,heavy_rain,124503.98127779848,46865.61548380668,67502.40119311398,25409.159980928696
2022-03-09,North_South,44744.493398844905,18895.96900516001,15160496.371691555,883.217592592592,ESI_CorA,,,False,heavy_rain,124360.65762058098,52518.53252450675,114605.60154117607,48398.89179739124
2022-03-14,North_South,33228.55283374533,13962.550567072876,50888907.244354345,808.275462962964,ESI_CorA,,,False,light_rain,84517.4773472639,35514.02184642168,25355.254416450607,10654.211265293492
2022-03-16,North_South,91957.35341631548,36133.02186757246,37916164.32347712,449.66435185185105,ESI_CorA,,,False,dry,130121.968985775,51129.13514951592,94176.32459302012,37004.92749635229
2022-03-21,North_South,65029.8141446619,37935.2455778697,51441639.8246053,420.05787037037,ESI_CorA,,,False,dry,85960.18521163479,50145.01085099914,49088.23070144954,28635.697504841653
2022-03-23,North_South,50756.971168672026,23600.579153490446,25046071.50071926,445.02314814814804,ESI_CorA,,,False,dry,71081.07767963658,33050.72311188415,78692.93671649571,36590.025744967286
2022-03-28,North_South,49553.33591129878,23059.750628977392,42485958.00097327,430.243055555555,ESI_CorA,,,False,dry,67090.7225421044,31220.81092801024,45290.50377001487,21076.03259378487
2022-03-30,North_South,52475.72235396938,31716.715960669793,44044587.229892164,478.738425925926,ESI_CorA,,,False,light_rain,79055.5594941322,47781.76675061166,46264.25273580754,27962.457634339826
